_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,contributors_browser,e_abort,e_canplay,e_canplaythrough,e_durationchange,e_emptied,e_ended,e_error,e_loadeddata,e_loadedmetadata,e_loadstart,e_pause,e_play,e_playing,e_progress,e_ratechange,e_seeked,e_seeking,e_stalled,e_suspend,e_timeupdate,e_volumechange,e_waiting,keywords,avg_rating,bitdepth,bitrate,channels,description,duration,experiment_url,id,license,name,num_ratings,preview-hq-mp3,preview-hq-ogg,samplerate,tags,type,url,username
666412940,2/4/2015 15:34:15,1550202987,2/4/2015 15:33:08,false,prodege,1,30489373,GBR,N7,Staines,86.171.235.238,Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:35.0) Gecko/20100101 Firefox/35.0,0,2,2,2,0,1,0,1,1,0,1,2,2,5,2,1,1,0,1,121,0,2,"frequency,radio,scanner",2,16,1411,2,Eerie crying effect created on Nord Lead Virtual Analog synthesizer. Sampled while twisting various parameter knobs.,17.8811564626,http://kyoto.let.vu.nl/~miltenburg/sounds/11864.mp3,11864,http://creativecommons.org/licenses/sampling+/1.0/,nord_crying_wild_animal_howl.wav,2,https://www.freesound.org/data/previews/11/11864_32690-hq.mp3,https://www.freesound.org/data/previews/11/11864_32690-hq.ogg,44100,analog eerie howling noise nord sound-effects synthesizer,wav,https://www.freesound.org/people/medialint/sounds/11864/,medialint
666412940,2/4/2015 15:54:19,1550216401,2/4/2015 15:52:58,false,clixsense,1.0,17950689,GBR,Y3,Treharris,92.2.37.252,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36",0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,72,0,1,"annoying,squeaky,high pitched",2,16,1411,2,Eerie crying effect created on Nord Lead Virtual Analog synthesizer. Sampled while twisting various parameter knobs.,17.8811564626,http://kyoto.let.vu.nl/~miltenburg/sounds/11864.mp3,11864,http://creativecommons.org/licenses/sampling+/1.0/,nord_crying_wild_animal_howl.wav,2,https://www.freesound.org/data/previews/11/11864_32690-hq.mp3,https://www.freesound.org/data/previews/11/11864_32690-hq.ogg,44100,analog eerie howling noise nord sound-effects synthesizer,wav,https://www.freesound.org/people/medialint/sounds/11864/,medialint
666412940,2/4/2015 16:21:39,1550238223,2/4/2015 16:20:06,false,neodev,1.0,29074051,GBR,G5,Folkestone,80.6.67.18,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0,0,1,2,3,0,1,0,1,1,0,2,2,2,2,2,0,0,0,1,68,1,1,"wining,long,balloon noise,horrible",2,16,1411,2,Eerie crying effect created on Nord Lead Virtual Analog synthesizer. Sampled while twisting various parameter knobs.,17.8811564626,http://kyoto.let.vu.nl/~miltenburg/sounds/11864.mp3,11864,http://creativecommons.org/licenses/sampling+/1.0/,nord_crying_wild_animal_howl.wav,2,https://www.freesound.org/data/previews/11/11864_32690-hq.mp3,https://www.freesound.org/data/previews/11/11864_32690-hq.ogg,44100,analog eerie howling noise nord sound-effects synthesizer,wav,https://www.freesound.org/people/medialint/sounds/11864/,medialint
666412940,2/4/2015 16:22:53,1550239159,2/4/2015 16:21:51,false,neodev,1,18137958,USA,PA,Philadelphia,207.245.124.66,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0,0,1,1,2,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,66,0,1,a high-pitched screeching sound,2,16,1411,2,Eerie crying effect created on Nord Lead Virtual Analog synthesizer. Sampled while twisting various parameter knobs.,17.8811564626,http://kyoto.let.vu.nl/~miltenburg/sounds/11864.mp3,11864,http://creativecommons.org/licenses/sampling+/1.0/,nord_crying_wild_animal_howl.wav,2,https://www.freesound.org/data/previews/11/11864_32690-hq.mp3,https://www.freesound.org/data/previews/11/11864_32690-hq.ogg,44100,analog eerie howling noise nord sound-effects synthesizer,wav,https://www.freesound.org/people/medialint/sounds/11864/,medialint
666412940,2/4/2015 16:28:47,1550243435,2/4/2015 16:25:32,false,neodev,1,11035031,CAN,ON,Scarborough,99.245.54.168,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",0,1,1,1,0,1,0,1,1,0,1,1,1,2,0,0,0,0,1,73,0,1,tinny,2,16,1411,2,Eerie crying effect created on Nord Lead Virtual Analog synthesizer. Sampled while twisting various parameter knobs.,17.8811564626,http://kyoto.let.vu.nl/~miltenburg/sounds/11864.mp3,11864,http://creativecommons.org/licenses/sampling+/1.0/,nord_crying_wild_animal_howl.wav,2,https://www.freesound.org/data/previews/11/11864_32690-hq.mp3,https://www.freesound.org/data/previews/11/11864_32690-hq.ogg,44100,analog eerie howling noise nord sound-effects synthesizer,wav,https://www.freesound.org/people/medialint/sounds/11864/,medialint
666412940,2/4/2015 16:46:46,1550257971,2/4/2015 16:45:45,false,instagc,1.0,31184650,USA,IA,Des Moines,63.153.194.104,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3; rv:11.0) like Gecko,0,1,1,1,0,1,0,1,1,1,0,1,1,3,0,0,0,0,0,76,0,1,"squeaky,scratchy,electronic",2,16,1411,2,Eerie crying effect created on Nord Lead Virtual Analog synthesizer. Sampled while twisting various parameter knobs.,17.8811564626,http://kyoto.let.vu.nl/~miltenburg/sounds/11864.mp3,11864,http://creativecommons.org/licenses/sampling+/1.0/,nord_crying_wild_animal_howl.wav,2,https://www.freesound.org/data/previews/11/11864_32690-hq.mp3,https://www.freesound.org/data/previews/11/11864_32690-hq.ogg,44100,analog eerie howling noise nord sound-effects synthesizer,wav,https://www.freesound.org/people/medialint/sounds/11864/,medialint
666412940,2/4/2015 16:48:07,1550259036,2/4/2015 16:47:03,false,clixsense,1,10319610,USA,OH,Berea,75.118.61.247,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36",0,3,3,1,0,1,0,1,1,0,2,2,2,2,0,2,4,0,1,88,0,1,screech,2,16,1411,2,Eerie crying effect created on Nord Lead Virtual Analog synthesizer. Sampled while twisting various parameter knobs.,17.8811564626,http://kyoto.let.vu.nl/~miltenburg/sounds/11864.mp3,11864,http://creativecommons.org/licenses/sampling+/1.0/,nord_crying_wild_animal_howl.wav,2,https://www.freesound.org/data/previews/11/11864_32690-hq.mp3,https://www.freesound.org/data/previews/11/11864_32690-hq.ogg,44100,analog eerie howling noise nord sound-effects synthesizer,wav,https://www.freesound.org/people/medialint/sounds/11864/,medialint
666412940,2/4/2015 16:52:05,1550262550,2/4/2015 16:51:20,false,gifthulk,1.0,23743236,USA,,,73.208.31.70,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Maxthon/4.4.3.4000 Chrome/30.0.1599.101 Safari/537.36",0,1,1,1,0,1,0,1,1,1,1,1,1,3,0,0,0,1,1,75,0,1,screech,2,16,1411,2,Eerie crying effect created on Nord Lead Virtual Analog synthesizer. Sampled while twisting various parameter knobs.,17.8811564626,http://kyoto.let.vu.nl/~miltenburg/sounds/11864.mp3,11864,http://creativecommons.org/licenses/sampling+/1.0/,nord_crying_wild_animal_howl.wav,2,https://www.freesound.org/data/previews/11/11864_32690-hq.mp3,https://www.freesound.org/data/previews/11/11864_32690-hq.ogg,44100,analog eerie howling noise nord sound-effects synthesizer,wav,https://www.freesound.org/people/medialint/sounds/11864/,medialint
666412940,2/4/2015 16:55:27,1550265565,2/4/2015 16:53:42,false,prodege,1.0,27939470,GBR,X5,Cardiff,2.101.226.183,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36",0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,73,0,1,kettle,2,16,1411,2,Eerie crying effect created on Nord Lead Virtual Analog synthesizer. Sampled while twisting various parameter knobs.,17.8811564626,http://kyoto.let.vu.nl/~miltenburg/sounds/11864.mp3,11864,http://creativecommons.org/licenses/sampling+/1.0/,nord_crying_wild_animal_howl.wav,2,https://www.freesound.org/data/previews/11/11864_32690-hq.mp3,https://www.freesound.org/data/previews/11/11864_32690-hq.ogg,44100,analog eerie howling noise nord sound-effects synthesizer,wav,https://www.freesound.org/people/medialint/sounds/11864/,medialint
666412940,2/4/2015 17:19:38,1550283885,2/4/2015 17:18:24,false,instagc,1.0,21507445,USA,VA,Richmond,76.27.162.106,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36",0,1,1,1,0,1,0,1,1,0,1,1,1,3,0,0,0,0,1,72,0,1,sqeal,2,16,1411,2,Eerie crying effect created on Nord Lead Virtual Analog synthesizer. Sampled while twisting various parameter knobs.,17.8811564626,http://kyoto.let.vu.nl/~miltenburg/sounds/11864.mp3,11864,http://creativecommons.org/licenses/sampling+/1.0/,nord_crying_wild_animal_howl.wav,2,https://www.freesound.org/data/previews/11/11864_32690-hq.mp3,https://www.freesound.org/data/previews/11/11864_32690-hq.ogg,44100,analog eerie howling noise nord sound-effects synthesizer,wav,https://www.freesound.org/people/medialint/sounds/11864/,medialint
